questionNumber,label,text,isCorrect
26,A,Listening Q26 option A,False.ToLower()
26,B,Listening Q26 option B,True.ToLower()
26,C,Listening Q26 option C,False.ToLower()
26,D,Listening Q26 option D,False.ToLower()
27,A,Listening Q27 option A,False.ToLower()
27,B,Listening Q27 option B,False.ToLower()
27,C,Listening Q27 option C,True.ToLower()
27,D,Listening Q27 option D,False.ToLower()
28,A,Listening Q28 option A,False.ToLower()
28,B,Listening Q28 option B,False.ToLower()
28,C,Listening Q28 option C,False.ToLower()
28,D,Listening Q28 option D,True.ToLower()
29,A,Listening Q29 option A,True.ToLower()
29,B,Listening Q29 option B,False.ToLower()
29,C,Listening Q29 option C,False.ToLower()
29,D,Listening Q29 option D,False.ToLower()
30,A,Listening Q30 option A,False.ToLower()
30,B,Listening Q30 option B,True.ToLower()
30,C,Listening Q30 option C,False.ToLower()
30,D,Listening Q30 option D,False.ToLower()
31,A,Listening Q31 option A,False.ToLower()
31,B,Listening Q31 option B,False.ToLower()
31,C,Listening Q31 option C,True.ToLower()
31,D,Listening Q31 option D,False.ToLower()
32,A,Listening Q32 option A,False.ToLower()
32,B,Listening Q32 option B,False.ToLower()
32,C,Listening Q32 option C,False.ToLower()
32,D,Listening Q32 option D,True.ToLower()
33,A,Listening Q33 option A,True.ToLower()
33,B,Listening Q33 option B,False.ToLower()
33,C,Listening Q33 option C,False.ToLower()
33,D,Listening Q33 option D,False.ToLower()
34,A,Listening Q34 option A,False.ToLower()
34,B,Listening Q34 option B,True.ToLower()
34,C,Listening Q34 option C,False.ToLower()
34,D,Listening Q34 option D,False.ToLower()
35,A,Listening Q35 option A,False.ToLower()
35,B,Listening Q35 option B,False.ToLower()
35,C,Listening Q35 option C,True.ToLower()
35,D,Listening Q35 option D,False.ToLower()
36,A,Listening Q36 option A,False.ToLower()
36,B,Listening Q36 option B,False.ToLower()
36,C,Listening Q36 option C,False.ToLower()
36,D,Listening Q36 option D,True.ToLower()
37,A,Listening Q37 option A,True.ToLower()
37,B,Listening Q37 option B,False.ToLower()
37,C,Listening Q37 option C,False.ToLower()
37,D,Listening Q37 option D,False.ToLower()
38,A,Listening Q38 option A,False.ToLower()
38,B,Listening Q38 option B,True.ToLower()
38,C,Listening Q38 option C,False.ToLower()
38,D,Listening Q38 option D,False.ToLower()
39,A,Listening Q39 option A,False.ToLower()
39,B,Listening Q39 option B,False.ToLower()
39,C,Listening Q39 option C,True.ToLower()
39,D,Listening Q39 option D,False.ToLower()
40,A,Listening Q40 option A,False.ToLower()
40,B,Listening Q40 option B,False.ToLower()
40,C,Listening Q40 option C,False.ToLower()
40,D,Listening Q40 option D,True.ToLower()
